Time,Latency
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.04
29,0.04
30,0.04
31,0.04
32,0.04
33,0.04
34,0.04
35,0.04
36,0.04
37,0.04
38,0.04
39,0.04
40,0.04
41,0.04
42,0.04
43,0.04
44,0.04
45,0.04
46,0.04
47,0.04
48,0.04
49,0.04
50,0.04
51,0.07
52,0.07
53,0.07
54,0.07
55,0.07
56,0.07
57,0.07
58,0.07
59,0.07
60,0.07
61,0.07
62,0.07
63,0.07
64,0.07
65,0.1
66,0.1
67,0.1
68,0.1
69,0.1
70,0.1
71,0.1
72,0.1
73,0.1
74,0.1
75,0.1
76,0.1
77,0.1
78,0.1
79,0.1
80,0.1
81,0.1
82,0.1
83,0.13
84,0.13
85,0.13
86,0.13
87,0.13
88,0.13
89,0.13
90,0.13
91,0.13
92,0.13
93,0.13
94,0.13
95,0.13
96,0.13
97,0.13
98,0.13
99,0.16
100,0.16
101,0.16
102,0.16
103,0.16
104,0.16
105,0.16
106,0.16
107,0.16
108,0.16
109,0.16
110,0.16
111,0.19
112,0.19
113,0.19
114,0.19
115,0.19
116,0.19
117,0.19
118,0.19
119,0.19
120,0.19
121,0.19
122,0.19
123,0.19
124,0.19
125,0.19
126,0.22
127,0.22
128,0.22
129,0.22
130,0.22
131,0.22
132,0.22
133,0.22
134,0.22
135,0.22
136,0.22
137,0.22
138,0.22
139,0.22
140,0.25
141,0.25
142,0.25
143,0.25
144,0.25
145,0.25
146,0.25
147,0.25
148,0.25
149,0.25
150,0.25
151,0.25
152,0.25
153,0.28
154,0.28
155,0.28
156,0.28
157,0.28
158,0.28
159,0.28
160,0.28
161,0.28
162,0.28
163,0.28
164,0.28
165,0.28
166,0.28
167,0.31
168,0.31
169,0.31
170,0.31
171,0.31
172,0.31
173,0.31
174,0.31
175,0.31
176,0.34
177,0.34
178,0.34
179,0.34
180,0.34
181,0.34
182,0.34
183,0.34
184,0.34
185,0.37
186,0.37
187,0.37
188,0.37
189,0.37
190,0.37
191,0.37
192,0.37
193,0.37
194,0.37
195,0.4
196,0.4
197,0.4
198,0.4
199,0.4
200,0.4
201,0.4
202,0.4
203,0.4
204,0.4
205,0.4
206,0.4
207,0.4
208,0.4
209,0.43
210,0.43
211,0.43
212,0.43
213,0.43
214,0.43
215,0.43
216,0.43
217,0.43
218,0.43
219,0.46
220,0.46
221,0.46
222,0.46
223,0.46
224,0.46
225,0.46
226,0.46
227,0.46
228,0.46
229,0.46
230,0.46
231,0.46
232,0.46
233,0.46
234,0.46
235,0.46
236,0.46
237,0.46
238,0.49
239,0.49
240,0.49
241,0.49
242,0.49
243,0.49
244,0.49
245,0.49
246,0.49
247,0.49
248,0.49
249,0.49
250,0.49
251,0.49
252,0.49
253,0.49
254,0.49
255,0.49
256,0.52
257,0.52
258,0.52
259,0.52
260,0.55
261,0.55
262,0.55
263,0.55
264,0.55
