Detection,Latency
1,0.1
2,0.1
3,0.1
4,0.1
5,0.1
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,0.1
16,0.1
17,0.1
18,0.1
19,0.1
20,0.1
21,0.1
22,0.1
23,0.1
24,0.1
25,0.1
26,0.1
27,0.125
28,0.125
29,0.125
30,0.125
31,0.125
32,0.125
33,0.125
34,0.125
35,0.125
36,0.125
37,0.125
38,0.125
39,0.125
40,0.25
41,0.25
42,0.25
43,0.25
44,0.25
45,0.25
46,0.25
47,0.25
48,0.25
49,0.25
50,0.375
51,0.375
52,0.375
53,0.375
54,0.375
55,0.375
56,0.375
57,0.375
58,0.375
59,0.375
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.625
66,0.625
67,0.625
68,0.625
69,0.75
70,0.75
71,0.75
72,0.75
73,0.75
74,0.75
75,0.75
76,0.75
77,0.75
78,0.75
79,0.75
80,0.875
81,0.875
82,0.875
83,0.875
84,0.875
85,0.875
86,0.875
87,0.875
88,0.875
89,0.875
90,0.875
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1.125
101,1.125
102,1.125
103,1.125
104,1.25
105,1.25
106,1.25
107,1.25
108,1.25
109,1.375
110,1.375
111,1.375
112,1.375
113,1.375
114,1.375
115,1.375
116,1.375
117,1.375
118,1.375
119,1.5
120,1.5
121,1.5
122,1.5
123,1.5
124,1.625
125,1.625
126,1.625
127,1.625
128,1.625
129,1.625
130,1.625
131,1.625
132,1.625
133,1.625
134,1.625
135,1.625
136,1.625
137,1.75
138,1.75
139,1.75
140,1.75
141,1.75
142,1.75
143,1.75
144,1.75
145,1.75
146,1.75
147,1.75
148,1.75
149,1.875
150,1.875
151,1.875
152,1.875
153,1.875
154,1.875
155,1.875
156,1.875
157,1.875
158,1.875
159,1.875
160,1.875
161,1.875
162,1.875
163,1.875
164,1.875
165,1.875
166,1.875
167,1.875
168,1.875
169,1.875
170,1.875
171,1.875
172,1.875
173,1.875
174,1.875
175,1.875
176,1.875
177,1.875
178,1.875
179,1.875
180,1.875
181,1.875
182,1.875
183,1.875
184,1.875
185,1.875
186,1.875
187,1.875
188,2
189,2
190,2
191,2
192,2
