Time,Latency
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.04
12,0.04
13,0.04
14,0.04
15,0.04
16,0.04
17,0.04
18,0.04
19,0.04
20,0.04
21,0.04
22,0.04
23,0.07
24,0.07
25,0.07
26,0.07
27,0.07
28,0.07
29,0.07
30,0.07
31,0.07
32,0.07
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1
42,0.1
43,0.13
44,0.13
45,0.13
46,0.13
47,0.13
48,0.13
49,0.13
50,0.13
51,0.13
52,0.13
53,0.13
54,0.13
55,0.13
56,0.16
57,0.16
58,0.16
59,0.16
60,0.16
61,0.16
62,0.16
63,0.16
64,0.16
65,0.19
66,0.19
67,0.19
68,0.19
69,0.19
70,0.19
71,0.19
72,0.19
73,0.22
74,0.22
75,0.22
76,0.22
77,0.22
78,0.22
79,0.22
80,0.22
81,0.22
82,0.22
83,0.22
84,0.22
85,0.22
86,0.22
87,0.22
88,0.25
89,0.25
90,0.25
91,0.25
92,0.25
93,0.25
94,0.25
95,0.28
96,0.28
97,0.28
98,0.28
99,0.28
100,0.28
101,0.28
102,0.28
103,0.28
104,0.28
105,0.28
106,0.28
107,0.28
108,0.28
109,0.31
110,0.31
111,0.31
112,0.31
113,0.31
114,0.31
115,0.34
116,0.34
117,0.34
118,0.34
119,0.34
120,0.34
121,0.34
122,0.34
123,0.34
124,0.37
125,0.37
126,0.37
127,0.37
128,0.37
129,0.37
130,0.37
131,0.37
132,0.4
133,0.4
134,0.4
135,0.4
136,0.4
137,0.4
138,0.4
139,0.43
140,0.43
141,0.43
142,0.43
143,0.43
144,0.43
145,0.43
146,0.43
147,0.43
148,0.43
149,0.43
150,0.43
151,0.43
152,0.43
153,0.43
154,0.43
155,0.43
156,0.43
157,0.43
158,0.43
159,0.43
160,0.43
161,0.46
162,0.46
163,0.46
164,0.46
165,0.46
166,0.46
167,0.46
168,0.46
169,0.46
170,0.46
171,0.46
172,0.46
173,0.46
174,0.46
175,0.46
176,0.46
177,0.46
178,0.46
179,0.46
180,0.46
181,0.46
182,0.46
183,0.46
184,0.46
185,0.46
186,0.46
187,0.46
188,0.46
189,0.46
190,0.46
191,0.46
192,0.46
193,0.46
194,0.46
195,0.46
196,0.46
197,0.46
198,0.46
199,0.46
200,0.46
201,0.46
202,0.46
203,0.46
204,0.46
205,0.46
206,0.46
207,0.46
208,0.46
209,0.46
210,0.46
211,0.46
212,0.46
213,0.46
214,0.46
215,0.46
216,0.46
217,0.46
218,0.46
219,0.46
220,0.49
221,0.49
222,0.49
223,0.49
224,0.49
225,0.49
226,0.49
227,0.49
228,0.49
229,0.49
230,0.49
231,0.49
232,0.49
233,0.49
234,0.49
235,0.49
236,0.49
237,0.49
238,0.49
239,0.49
240,0.49
241,0.49
242,0.49
243,0.49
244,0.49
245,0.49
246,0.49
247,0.49
248,0.49
249,0.49
250,0.49
251,0.49
252,0.49
253,0.49
254,0.49
255,0.49
256,0.49
257,0.52
258,0.52
259,0.52
260,0.52
261,0.55
262,0.55
263,0.55
264,0.74
