Detection,Latency
1,0.1
2,0.1
3,0.1
4,0.1
5,0.1
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.1
12,0.1
13,0.25
14,0.25
15,0.25
16,0.25
17,0.375
18,0.5
19,0.625
20,0.625
21,0.75
22,0.75
23,0.75
24,0.75
25,0.75
26,0.75
27,0.875
28,0.875
29,1
30,1
31,1
32,1.125
33,1.125
34,1.125
35,1.125
36,1.25
37,1.25
38,1.375
39,1.375
40,1.375
41,1.5
42,1.5
43,1.5
44,1.625
45,1.625
46,1.625
47,1.625
48,1.75
49,1.75
50,1.75
51,1.875
52,1.875
53,1.875
54,1.875
55,1.875
56,1.875
57,1.875
58,1.875
59,1.875
60,1.875
61,1.875
62,1.875
63,1.875
64,1.875
65,1.875
66,1.875
67,1.875
68,1.875
69,1.875
70,1.875
71,1.875
72,1.875
73,1.875
74,1.875
75,1.875
76,1.875
77,1.875
78,1.875
79,1.875
80,1.875
81,1.875
82,1.875
83,1.875
84,1.875
85,1.875
86,1.875
87,1.875
88,1.875
89,1.875
90,1.875
91,1.875
92,1.875
93,1.875
94,1.875
95,1.875
96,1.875
97,1.875
98,1.875
99,1.875
100,1.875
101,1.875
102,1.875
103,1.875
104,1.875
105,1.875
106,1.875
107,1.875
108,1.875
109,1.875
110,1.875
111,1.875
112,1.875
113,1.875
114,1.875
115,1.875
116,1.875
117,1.875
118,1.875
119,1.875
120,1.875
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
